title,album,composer,spotify,youtube,artist
"Chicago, Damn",Album: Blacks And Blues,,https://play.spotify.com/track/52wleLPMLd50hEWoCyHvPN,https://www.youtube.com/watch?v=Dyf2naIPD9g,Bobbi Humphrey
W.E.L.F.A.R.E,Album: W.E.L.F.A.R.E,,https://play.spotify.com/track/4NfabFAMEHaKVbPoG8xmQ2,https://www.youtube.com/watch?v=cVWGLtNIpdA,Antonio Castro
Malin Kpon O,"Album: Echos hypnotiques, from the Vaults of Albarika Store",,https://play.spotify.com/track/64AtY6sKYBsBGelwjkdYkD,https://www.youtube.com/watch?v=NU3DaK7xd68,Orchestre Poly-Rythmo de Cotonou
You Better Be Good (Or the Devil Gon' Getcha),Album: It's Just Begun,,https://play.spotify.com/track/2XqRlWCLdlLD2dgMCzGdu7,https://www.youtube.com/watch?v=vPC_MnqTwEY,Jimmy Castor
Get Down,Album: Texas Funk,,https://play.spotify.com/track/2YXEaxRAJyYmf7XNhjp8vG,https://www.youtube.com/watch?v=a_N7Tbr_vso,Sunny & The Sunliners
The Boss,Album: Black Caesar,,https://play.spotify.com/track/6Mg17BebEPPQiu628sGJGC,https://www.youtube.com/watch?v=jC2ZY2loo74,James Brown
Walk On By,Album: Doin It!!!!,,https://play.spotify.com/track/0vBTlZLCQFlPIyUo0YYQDR,https://www.youtube.com/watch?v=vpR5TyRHeXQ,Equatics
Mad Mouth Woman,Album: Mad Mouth Woman,,https://play.spotify.com/track/3xaWlxibJe9D4ftzjIezaL,https://www.youtube.com/watch?v=WPPDJ-ZUFIM,Wayne Carter
Comin From,Album: Five,,https://play.spotify.com/track/5oNfqRvtXFoA6JDfpCZvud,https://www.youtube.com/watch?v=VgzT0N62tEs,Falling Down & Foggylungz
Put It On The Line,Album: James Brown's Original Funky Divas,,https://play.spotify.com/track/4POXVwrV7ClSY66BKVegSQ,https://www.youtube.com/watch?v=VIzkG-4L8io,Lyn Collins
Ill Street Blues,Album: Live and Let Die (Deluxe Version),,https://play.spotify.com/track/5t7VSlim3ULPj2uIDWVi7e,https://www.youtube.com/watch?v=-EN15XU7buY,Kool G Rap & DJ Polo
