title,album,composer,spotify,youtube,artist
Början På Allt,,"Kompositör: Al Fakir, Pontare, Lidehäll",,https://www.youtube.com/results?search_query=Petter%20%26%20Eye-N-I%20B%c3%b6rjan%20P%c3%a5%20Allt,Petter & Eye-N-I
Beautiful,,"Kompositör: Mariah Carey, Miguel Pimentel, Mariah C",,https://www.youtube.com/results?search_query=Mariah%20Carey%20%26%20Miguel%20Beautiful,Mariah Carey & Miguel
Aldrig,,"Kompositör: Mattias Lundh Isén, Tommy Isacsson, Mag",,https://www.youtube.com/results?search_query=Looptroop%20Rockers%20Aldrig,Looptroop Rockers
Haffa Guzz,,"Kompositör: J. Ljunggren, N. Marouf, A. Peristeris,",https://play.spotify.com/track/1wnk3fXw1oQr9urMBZ1lH5,https://www.youtube.com/results?search_query=Lilla%20Namo%20Haffa%20Guzz,Lilla Namo
Music Is Life,,"Kompositör: Tommy Tysper, Elliphant, Ras Fraser Jr,",,https://www.youtube.com/results?search_query=Elliphant%20%26%20Ras%20Fraser%20Jr%20Music%20Is%20Life,Elliphant & Ras Fraser Jr
Hur Dom Än,,"Kompositör: Oskar Linnros, David Lindvall, Oskar Li",https://play.spotify.com/track/45AvaFFj2tby8GJ56aNnMx,https://www.youtube.com/results?search_query=Oskar%20Linnros%20Hur%20Dom%20%c3%84n,Oskar Linnros
Bang Bang,,"Kompositör: Ulises Infante, Linda Pira, Ulises Infa",https://play.spotify.com/track/1ux7x9iT4Neg9O7H4WfpWx,https://www.youtube.com/results?search_query=Linda%20Pira%20Bang%20Bang,Linda Pira
Watch Out For This (Bumaye),,Kompositör: Ruben Blades | Thomas Goethals | Reanno,,https://www.youtube.com/results?search_query=Major%20Lazer%20%26%20Busy%20Signal%20%26%20The%20Flexi%20Watch%20Out%20For%20This%20(Bumaye),Major Lazer & Busy Signal & The Flexi
Super Rich Kids,,Kompositör: James Ho | Frank Ocean,https://play.spotify.com/track/6cQJLLUQ3tLsXCqyudSFkU,https://www.youtube.com/results?search_query=Frank%20Ocean%20%26%20Earl%20Sweatshirt%20Super%20Rich%20Kids,Frank Ocean & Earl Sweatshirt
