title,album,composer,spotify,youtube,artist
Who's That Lady,Album: ***THE ISLEY BROTHERS STORY (1):ROCKIN' SOUL (1959-1968)***      Utgiven:  199,Kompositör: O'kelly Isley & Ronald Isley & Rudolph Isley,https://play.spotify.com/track/4KEjzkZRlb0HHqNTsj7AoM,https://www.youtube.com/watch?v=EUH2JbwSlgw,Isley Brothers
Four Walls,Album: ***I Love You***,Kompositör: Sheila Holman & Tony Marks,https://play.spotify.com/track/4VszSQYXyvzmTqXlVoharU,https://www.youtube.com/watch?v=Qd3CfIxUZmQ,Eddie Holman
True Love Don't Grow On Trees,Album: ***TRUE LOVE DON'T GROW ON TREES***      Utgiven:  2007,Kompositör: Okänd,https://play.spotify.com/track/4o4aR4TwfcwVqBIWaTZsj8,https://www.youtube.com/watch?v=58NNz8kaC_o,Helene Smith
Hard Times,Album: ***WHAT IT IS FUNKY SOUL AND RARE GROOVES***      Utgiven:  2006,Kompositör: Curtis Mayfield,,https://www.youtube.com/results?search_query=Baby%20Huey%20%26%20The%20Babysitters%20Hard%20Times,Baby Huey & The Babysitters
Hopscotch,Album: ***TWO IS ONE***      Utgiven:  1992,Kompositör: Joe Chambers,,https://www.youtube.com/results?search_query=Charlie%20Rouse%20%26%20George%20Davis%20%26%20Paul%20Metzke%20%26%20Calo%20Scott%20%26%20Stanley%20Clarke%20%26%20David%20Lee%20%26%20Airto%20Moreira%20Hopscotch,Charlie Rouse & George Davis & Paul Metzke & Calo Scott & Stanley Clarke & David Lee & Airto Moreira
Is It Because I'm Black,Album: ***SAMPLED (1)***      Utgiven:  2000,Kompositör: Syl Johnson & Jimmy Jones & G Watts,https://play.spotify.com/track/2tqd5MGF8wXhpHoOKXoF3A,https://www.youtube.com/watch?v=jArMH17mFZY,Syl Johnson
Is It Because I'm Black,Album: ***BETTER MUST COME (2)***      Utgiven:  2004,Kompositör: Syl Johnson & Jimmy Jones & G Watts,https://play.spotify.com/track/0x2rBinu38kWs2Ij0TLB9J,https://www.youtube.com/results?search_query=Delroy%20Wilson%20Is%20It%20Because%20I'm%20Black,Delroy Wilson
Border,Album: ***MY NUMBER ONE***      Utgiven:  1990,Kompositör: Gregory Isaacs,https://play.spotify.com/track/0prPf045Rqi2o9L6RJmWm0,https://www.youtube.com/watch?v=5F2QBFjepmg,Gregory Isaacs & U-Brown
I Wouldn't Treat A Dog (The Way You Treated Me),Album: ***BLUES MASTERS (9) POSTMODERN BLUES***      Utgiven:  1993,Kompositör: Steve Barri & Michael Omartian & Michael Price & Dan Walsh,https://play.spotify.com/track/28mVkXbnpIbMmebBbgUjDZ,https://www.youtube.com/results?search_query=Bobby%20Bland%20I%20Wouldn't%20Treat%20A%20Dog%20(The%20Way%20You%20Treated%20Me),Bobby Bland
Keep Her Happy,"Album: ***Soul Spectrum Records, Vol. 1***",Kompositör: Seth Snyder & Phillip Wright,https://play.spotify.com/track/4rP0B8vtYhXPe5LDXNDrjm,https://www.youtube.com/results?search_query=Phillip%20Wright%20Keep%20Her%20Happy,Phillip Wright
