title,album,composer,spotify,youtube,artist
Next Liftetime,Album: Next Lifetime,Kompositör: Erykah Badu/A Scott,https://play.spotify.com/track/3tH16kQXSDJpawV0HvCj2E,https://www.youtube.com/results?search_query=Erykah%20Badu%20Next%20Liftetime,Erykah Badu
Send It On,Album: ***VOODOO***      Utgiven:  2000,Kompositör: L Archer & D'angelo & Angie Stone,,https://www.youtube.com/results?search_query=D'angelo%20%26%20Roy%20Hargrove%20%26%20Edward%20Alford%20%26%20Pino%20Palladino%20%26%20Ahmir%20Thompson%20Send%20It%20On,D'angelo & Roy Hargrove & Edward Alford & Pino Palladino & Ahmir Thompson
Sea Of Tranquility,Album: ***KOOL AND THE GANG***      Utgiven:  1996,Kompositör: Kool & The Gang & Gene Redd,https://play.spotify.com/track/0hnZiXTQ2rBsU4T9KIORF0,https://www.youtube.com/results?search_query=Kool%20%26%20The%20Gang%20Sea%20Of%20Tranquility,Kool & The Gang
Mellow Mellow (Right On),Album: ***MELLOW MELLOW (RIGHT ON)***      Utgiven:  1979,Kompositör: Larry Brownlee & Gus Redmond & Fred Simon & Jeffrey Simon,,https://www.youtube.com/results?search_query=Lowrell%20Simon%20Mellow%20Mellow%20(Right%20On),Lowrell Simon
Humpty Dumpty,Album: ***Placebo Years 19711974***,Kompositör: Marc Moulin,https://play.spotify.com/track/3rzenzs3lpi1XljKsZQ2Bl,https://www.youtube.com/watch?v=pgS5gZqBWXI,Marc Moulin
"Put Me Thru, Put Me Through",Album: Malibu,Kompositör: Anderson .Paak,https://play.spotify.com/track/06espoEuN2Ny4UqCYAVOCY,"https://www.youtube.com/results?search_query=Anderson%20.Paak%20Put%20Me%20Thru,%20Put%20Me%20Through",Anderson .Paak
Mars,,Kompositör: Tobias Pazner,https://play.spotify.com/track/1aBkxVLrK1M0FgIS2qrioH,https://www.youtube.com/results?search_query=The%20Olympians%20Mars,The Olympians
Bullets,Album: 99.9%,Kompositör: Louis Kevin Celetin,https://play.spotify.com/track/3Il1ess0dinvEagLM3dTzG,https://www.youtube.com/results?search_query=Kaytranada%20%26%20Little%20Dragon%20Bullets,Kaytranada & Little Dragon
For The World,Album: Ego Death,Kompositör: Okänd,https://play.spotify.com/track/2wknuokNRAnUPoNmYe0shu,https://www.youtube.com/watch?v=BYsNF4RpYwg,The Internet & James Fauntleroy
Gemini Feed,Album: Gemini Feed,Kompositör: Christopher Taylor/Jillian Banks,https://play.spotify.com/track/6923H6OtBkxdFrepzaVXMd,https://www.youtube.com/watch?v=2IeyrEUkBSk,Banks
