title,album,composer,spotify,youtube,artist
What You Won't Do For Love,Album: Touch - Ep,Kompositör: Michael Boothman & Carl Jacobs,https://play.spotify.com/track/3Y8A8d6fljGo8uqc6wrk66,https://www.youtube.com/watch?v=ivRZvEtwgyw,Michael Boothman
"Strawberry Letter 23, Strawberry Letter Twenty-Three",Album: Freedom Flight      Utgiven:  2011,Kompositör: Shuggie Otis,https://play.spotify.com/track/4W8IEREeLldaSQyGXcZQ2I,https://www.youtube.com/watch?v=iAPPAJ1sT8g,Shuggie Otis
Lihue,Album: Around Again,Kompositör: Okänd,https://play.spotify.com/track/4UeSleTsjljEIdEGRdVggm,https://www.youtube.com/watch?v=SgcCev5F1hA,Nohelani Cypriano
Enjoy Your Life,Album: Enjoy Your Life,,https://play.spotify.com/track/1UKk8v7T2IrpcLEP1KKqZb,https://www.youtube.com/watch?v=_6kgC-3s7Xg,Oby Onyioha
Sunny,Album: Al Santiago Presents Yambú,Kompositör: Bobby Hebb,https://play.spotify.com/track/3urCYnjCkNbA78BnRm4Sxu,https://www.youtube.com/watch?v=rLsBxUIziZc,Yambu
Faith,Album: Faith      Utgiven:  2005,Kompositör: Faruk Green,https://play.spotify.com/track/1sFTTR2kEureDUofSbtDl4,https://www.youtube.com/watch?v=ALgbJXklTwM,Faruk Green
Lagos Sisi,Album: Afro Baby - The Evolution Of The Afro Sound In Nigeria 1970-79      Utgiven:  2,Kompositör: Bola Johnson,https://play.spotify.com/track/6yM82PxMywRHehdoQgQT8p,https://www.youtube.com/watch?v=eRC2DKklxGc,Bola Johnson
Stop Today,"Album: Itll All Be Over, 2015",Kompositör: Dave Kingsby,https://play.spotify.com/track/6KB9MX28fvI5DN1TRQCNuN,https://www.youtube.com/watch?v=B-xxW5FTJlg,Supreme Jubilees
As Long As I Have You,Album: Talcum Soul      Utgiven:  1998,Kompositör: Bob Elgin & Jerry Ragovoy,https://play.spotify.com/track/4DRb1U1KCTCTKYdT557S2S,https://www.youtube.com/results?search_query=Garnet%20Mimms%20As%20Long%20As%20I%20Have%20You,Garnet Mimms
O' Baby I Believe I'm Losing You,Album: New Genius Of The Blues/More Heavy Soul      Utgiven:  1998,Kompositör: Billy Hawks,,https://www.youtube.com/results?search_query=Billy%20Hawks%20%26%20Maynard%20Parker%20%26%20Henry%20Terrell%20O'%20Baby%20I%20Believe%20I'm%20Losing%20You,Billy Hawks & Maynard Parker & Henry Terrell
"Forget About That Mess Pt. 1, Forget About That Mess (1)",Album: Absolute Funk Vol. 4,Kompositör: Okänd,https://play.spotify.com/track/1gfU5uu4CsIAQoJqyNheg2,"https://www.youtube.com/results?search_query=The%20Marvells%20Forget%20About%20That%20Mess%20Pt.%201,%20Forget%20About%20That%20Mess%20(1)",The Marvells
"Forget About That Mess Pt. 2, Forget About That Mess (2)",Album: Absolute Funk Vol. 4,Kompositör: Okänd,,"https://www.youtube.com/results?search_query=The%20Marvells%20Forget%20About%20That%20Mess%20Pt.%202,%20Forget%20About%20That%20Mess%20(2)",The Marvells
She's A Bad Girl,Album: Time And Place      Utgiven:  2007,Kompositör: Fears & Lee Moses,https://play.spotify.com/track/40pYuefz0g1RQNKR3MXio8,https://www.youtube.com/watch?v=Ol9tqqu35-Y,Lee Moses
