title,album,composer,spotify,youtube,artist
What I Did For Love,Album: _genic,Kompositör: Okänd,https://play.spotify.com/track/1YRjRHdl0aEtzHEn1uGi8k,https://www.youtube.com/watch?v=9fL5iWgWwno,David Guetta & Emeli Sandé
Irreplaceable,Album: B'day,Kompositör: Tor Erik Hermansen/S Smith/A Björklund/E Lind/Mikkel Se/Beyoncé Knowles,https://play.spotify.com/track/6RX5iL93VZ5fKmyvNXvF1r,https://www.youtube.com/watch?v=2EwViQxSJJQ,Beyoncé
Love Theme From Spartacus,Album: Love Theme From Spartacus      Utgiven:  1998,Kompositör: Alex North & Terry Callier,,https://www.youtube.com/results?search_query=Terry%20Callier%20%26%20John%20Moulder%20%26%20Eric%20Hochberg%20%26%20Alfredo%20Alias%20Love%20Theme%20From%20Spartacus,Terry Callier & John Moulder & Eric Hochberg & Alfredo Alias
Koto Song,Album: Concord On A Summer Night      Utgiven:  1986,Kompositör: Dave Brubeck,https://play.spotify.com/track/5CcyAtPqAY1X5DuyB9OdDP,https://www.youtube.com/results?search_query=Dave%20Brubeck%20Koto%20Song,Dave Brubeck
Cherry Blossom,Album: Fletcher Moss Park      Utgiven:  2012,Kompositör: Matthew Halsall,https://play.spotify.com/track/3OzFq5rnNeXtu4VCOBPToz,https://www.youtube.com/results?search_query=Matthew%20Halsall%20%26%20Adam%20Fairhall%20%26%20Nat%20Birchall%20%26%20Rachael%20Gladwin%20%26%20Gavin%20Barras%20%26%20Gaz%20Hughes%20Cherry%20Blossom,Matthew Halsall & Adam Fairhall & Nat Birchall & Rachael Gladwin & Gavin Barras & Gaz Hughes
Never Dreamed You'd Leave In Summer,Album: Where I'm Coming From      Utgiven:  1993,Kompositör: Stevie Wonder & Syreeta Wright,https://play.spotify.com/track/7lzXY02KILsidYPOox5n5G,https://www.youtube.com/watch?v=5_LbATof27U,Stevie Wonder
Sais,Album: Cosmic Funk      Utgiven:  2001,Kompositör: Mtume,,https://www.youtube.com/results?search_query=Lonnie%20Liston%20Smith%20Sais,Lonnie Liston Smith
Dreamland,Album: Blackheart Man      Utgiven:  1990,Kompositör: Bunny O'riley,,https://www.youtube.com/results?search_query=Bunny%20Wailer%20%26%20Bob%20Marley%20%26%20Peter%20Tosh%20Dreamland,Bunny Wailer & Bob Marley & Peter Tosh
Dreamland,Album: Grooving Kingston 12 (2)      Utgiven:  2004,Kompositör: Bunny Wailer,,https://www.youtube.com/results?search_query=Bunny%20Wailer%20%26%20The%20Wailers%20(Jamaica)%20%26%20The%20Upsetters%20(Jamaica)%20Dreamland,Bunny Wailer & The Wailers (Jamaica) & The Upsetters (Jamaica)
Equipoise,"Album: Members Don't Get Weary, 1968",Kompositör: Stanley Cowell,https://play.spotify.com/track/3gvQD27MucPhSDt2aYldtC,https://www.youtube.com/results?search_query=Max%20Roach%20Equipoise,Max Roach
