title,album,composer,spotify,youtube,artist
King Kunta,,Kompositör: K. Duckworth/M. Spears/J. Burns,https://play.spotify.com/track/1vffte5WTHIik37ePfJdo4,https://www.youtube.com/results?search_query=Kendrick%20Lamar%20King%20Kunta,Kendrick Lamar
The Worst,,Kompositör: Jhené Aiko Chilombo/Maclean Robinson,https://play.spotify.com/track/3IzELwTnsPLZ60cHLB1Znh,https://www.youtube.com/results?search_query=Jhen%c3%a9%20Aiko%20The%20Worst,Jhené Aiko
Don't Wait (Remix ft. Chance The Rapper & The Social Experiment),,Kompositör: Jackie Cummings,,https://www.youtube.com/results?search_query=Mapei%20Don't%20Wait%20(Remix%20ft.%20Chance%20The%20Rapper%20%26%20The%20Social%20Experiment),Mapei
