title,album,composer,spotify,youtube,artist
Get Involved,Album: Get Involved,Kompositör: Q-Tip/SAADIQ,,https://www.youtube.com/results?search_query=Raphael%20Saadiq%20[%20]%20Q-Tip%20Get%20Involved,Raphael Saadiq [+] Q-Tip
"Movin', Moving",Album: ***CLASSIC MASTERS***      Utgiven:  2002,Kompositör: Randy Muller & Wade Williamston,,"https://www.youtube.com/results?search_query=Brass%20Construction%20Movin',%20Moving",Brass Construction
Rigor Mortis,Album: ***CARDIAC ARREST***      Utgiven:  1996,Kompositör: Larry Blackmon & Arnett Leftenent & Nathan Leftenent,,https://www.youtube.com/results?search_query=Cameo%20(Usa)%20Rigor%20Mortis,Cameo (Usa)
Eye Know,Album: 3 Feet High And Rising,Kompositör: P Huston/K Mercer/D Jolicoeur/V Mason,,https://www.youtube.com/watch?v=z1CaN4thI5w,De La Soul
Peg,Album: Aja,Kompositör: Walter Becker & Donald Fagen,https://play.spotify.com/track/2MaLglXXcouyoh03rUROQ2,https://www.youtube.com/results?search_query=Steely%20Dan%20Peg,Steely Dan
I Can't Go For That,,Kompositör: John Oates/DARY HALL/SARA ALLEN,,https://www.youtube.com/results?search_query=Hall%20%26%20Oates%20I%20Can't%20Go%20For%20That,Hall & Oates
Say No Go,Album: 3 Feet High And Rising,Kompositör: MERCER/MASON/Huston/Jolicoeur,https://play.spotify.com/track/7eNAowKTrbxWPgatkRgsTc,https://www.youtube.com/results?search_query=De%20La%20Soul%20Say%20No%20Go,De La Soul
Ring Ring Ring,Album: De La Remix,Kompositör: MERCER/MASON/Huston/Jolicoeur/skinner,,https://www.youtube.com/results?search_query=De%20La%20Soul%20Ring%20Ring%20Ring,De La Soul
Enchanted Lady,,Kompositör: Milt Jackson,https://play.spotify.com/track/61Xw3D16XALHMzbg1Dtzcx,https://www.youtube.com/results?search_query=Milt%20Jackson%20Enchanted%20Lady,Milt Jackson
All Good,Album: Art Official Intelligence Mosaic Thum,"Kompositör: JOLICOEUR, DAVID (C,A) KHAN, CHAKA (C MASON, VINCENT (C,A) MERCER KELVIN (C",https://play.spotify.com/track/7tQvkhIR24mWvT73mPi4sd,https://www.youtube.com/results?search_query=De%20La%20Soul%20[%20]%20Chaka%20Khan%20All%20Good,De La Soul [+] Chaka Khan
Dang!,,Kompositör: P. Omo,,https://www.youtube.com/results?search_query=Mac%20Miller%20%26%20%20Anderson%20.Paak%20Dang!,Mac Miller &  Anderson .Paak
