title,album,composer,spotify,youtube,artist
Love Theme From Spartacus,Album: ***LOVE THEME FROM SPARTACUS***      Utgiven:  1998,Kompositör: Alex North & Terry Callier,,https://www.youtube.com/results?search_query=Terry%20Callier%20%26%20John%20Moulder%20%26%20Eric%20Hochberg%20%26%20Alfredo%20Alias%20Love%20Theme%20From%20Spartacus,Terry Callier & John Moulder & Eric Hochberg & Alfredo Alias
Spartacus,"Album: ***EXODUS TO JAZZ***      Utgiven:  1997, ***MIGHTY LIKE A ROSE***      Utgive",Kompositör: Alex North,,https://www.youtube.com/results?search_query=Eddie%20Harris%20%26%20Joe%20Diorio%20%26%20Willie%20Pickens%20%26%20William%20Yancey%20%26%20Harold%20Jones%20Spartacus,Eddie Harris & Joe Diorio & Willie Pickens & William Yancey & Harold Jones
Appointment In Ghana,Album: ***JACKIE'S BAG***      Utgiven:  2003,Kompositör: Jackie Mclean,,https://www.youtube.com/results?search_query=Blue%20Mitchell%20%26%20Jackie%20Mclean%20%26%20Tina%20Brooks%20%26%20Kenny%20Drew%20%26%20Paul%20Chambers%20%26%20Art%20Taylor%20Appointment%20In%20Ghana,Blue Mitchell & Jackie Mclean & Tina Brooks & Kenny Drew & Paul Chambers & Art Taylor
Walk Tall,Album: ***DEEP GROVE***      Utgiven:  1994,Kompositör: Esther Marrow & Joe Zawinul,https://play.spotify.com/track/7mNiqd8gmNoAlgVeXpFPd4,https://www.youtube.com/results?search_query=Julian%20Cannonball%20Adderley%20Walk%20Tall,Julian Cannonball Adderley
Work song,"Album: The Best of ""The Colpix Years""",,https://play.spotify.com/track/3scHKvIMnzYTzGB2OKh0SY,https://www.youtube.com/results?search_query=Nina%20Simone%20Work%20song,Nina Simone
"Your Head Is Like A Yoyo, Theme De Yoyo",Album: ***ART ENSEMBLE OF CHICAGO 1969-1970***      Utgiven:  1991,Kompositör: N Beasley & Lester Bowie & Malachi Favors & Roscoe Mitchell,,"https://www.youtube.com/results?search_query=Art%20Ensemble%20Of%20Chicago%20%26%20Fontella%20Bass%20Your%20Head%20Is%20Like%20A%20Yoyo,%20Theme%20De%20Yoyo",Art Ensemble Of Chicago & Fontella Bass
On The Hill,Album: ***PARTY HEARTY/THE BEST OF OLIVER SAIN***      Utgiven:  1996,Kompositör: Oliver Sain,https://play.spotify.com/track/3aTv2MzcK17DfHzcUCyte1,https://www.youtube.com/results?search_query=Oliver%20Sain%20On%20The%20Hill,Oliver Sain
Day One,Album: ***DIGGIN' IN THE CRATES***      Utgiven:  2000,Kompositör: A Barnes & L Coleman & Omar Credle & R Hall & J Kirkland,,https://www.youtube.com/results?search_query=Ditc%20Day%20One,Ditc
Time's Up,Album: ***WORD...LIFE***      Utgiven:  1995,Kompositör: Anthony Best & Omar Credle,https://play.spotify.com/track/3kCeMR9l6jNQCt8jWHCy2B,https://www.youtube.com/results?search_query=Oc%20Time's%20Up,Oc
A Day In The Life,,Kompositör: John Lennon & Paul Mccartney,,https://www.youtube.com/results?search_query=Les%20Demerle%20A%20Day%20In%20The%20Life,Les Demerle
Good Humour Man,Album: ***SAMPLED (3)***      Utgiven:  2002,Kompositör: Blue Mitchell,,https://www.youtube.com/results?search_query=Blue%20Mitchell%20%26%20Burt%20Collins%20%26%20Jerry%20Dodgion%20%26%20Junior%20Cook%20%26%20Pepper%20Adams%20%26%20Julian%20Priester%20%26%20Mccoy%20Tyner%20%26%20Gene%20Taylor%20%26%20Al%20Foster%20Good%20Humour%20Man,Blue Mitchell & Burt Collins & Jerry Dodgion & Junior Cook & Pepper Adams & Julian Priester & Mccoy Tyner & Gene Taylor & Al Foster
One To Grow On,Album: ***GIANT STEPS***      Utgiven:  1993,Kompositör: C Evans & K Sharpton,https://play.spotify.com/track/0EvQbY2OQdGM60ieokPJDa,https://www.youtube.com/results?search_query=The%20Umc's%20One%20To%20Grow%20On,The Umc's
"Rebirth Of Slick (Cool Like Dat), Rebirth Of Slick, Cool Like Dat, Cool Like Th",Album: ***BEYOND THE SPECTRUM***      Utgiven:  2005,Kompositör: Ishmael Butler & Craig Irving & Mary Ann Vieira,,"https://www.youtube.com/results?search_query=Digable%20Planets%20Rebirth%20Of%20Slick%20(Cool%20Like%20Dat),%20Rebirth%20Of%20Slick,%20Cool%20Like%20Dat,%20Cool%20Like%20Th",Digable Planets
Cause I Love You,Album: ***CAUSE I LOVE YOU***      Utgiven:  1975,Kompositör: Michael Bennett & Lenny Williams,https://play.spotify.com/track/0G7tfux7ydiXLyqKv7O7MQ,https://www.youtube.com/results?search_query=Lenny%20Williams%20Cause%20I%20Love%20You,Lenny Williams
In The Mood,Album: ***IN THE MOOD***      Utgiven:  2006,Kompositör: Darryl Ellis & Ruben Locke & Paul Richmond,https://play.spotify.com/track/2xTxA63pJHWi4VNnMCWaT3,https://www.youtube.com/results?search_query=Tyrone%20Davis%20In%20The%20Mood,Tyrone Davis
Without You In My Life,,,,https://www.youtube.com/watch?v=eaOog1KN5TE,Marlena Shaw
For The Love Of You,Album: ***THE ISLEY BROTHERS STORY (1): THE T-NECK YEARS (1969-85)***      Utgiven:,Kompositör: Isley Brothers,https://play.spotify.com/track/7teF2kwC3GL00mQfwtxzo9,https://www.youtube.com/results?search_query=Isley%20Brothers%20For%20The%20Love%20Of%20You,Isley Brothers
Lovin' You,"Album: ***LISTEN***      Utgiven:  1992, ***I DON'T WANT TO BE ALONE, STRANGER***",Kompositör: Johnny Guitar Watson,,https://www.youtube.com/results?search_query=Johnny%20Guitar%20Watson%20Lovin'%20You,Johnny Guitar Watson
I Know This Love Can't Be Wrong,,,,https://www.youtube.com/results?search_query=Andy%20Bey%20I%20Know%20This%20Love%20Can't%20Be%20Wrong,Andy Bey
I Can't Forget About You,Album: ***LOVE CITY***      Utgiven:  2007,Kompositör: Ronn Matlock,,https://www.youtube.com/results?search_query=Ronn%20Matlock%20I%20Can't%20Forget%20About%20You,Ronn Matlock
You Can't Turn Me Away,Album: ***GIVE ME YOUR LOVE***      Utgiven:  2010,Kompositör: Roy Ayers & James Bedford & Sylvia Striplin,,https://www.youtube.com/results?search_query=Sylvia%20Striplin%20You%20Can't%20Turn%20Me%20Away,Sylvia Striplin
A Tear To A Smile,Album: ***A TEAR TO A SMILE***      Utgiven:  2003,Kompositör: William Allen & Roy Ayers,https://play.spotify.com/track/4ESGo10hegav5BXAnJYydq,https://www.youtube.com/results?search_query=Roy%20Ayers%20A%20Tear%20To%20A%20Smile,Roy Ayers
Baby This Love I Have,Album: ***BABY THIS LOVE I HAVE***      Utgiven:  2004,Kompositör: Richard Rudolph,,https://www.youtube.com/results?search_query=Minnie%20Riperton%20Baby%20This%20Love%20I%20Have,Minnie Riperton
Where There Is Love,Album: ***WHERE THERE IS LOVE***      Utgiven:  1982,Kompositör: Patrice Rushen & Freddie Washington & Lynn Davis,,https://www.youtube.com/results?search_query=Patrice%20Rushen%20Where%20There%20Is%20Love,Patrice Rushen
Temperature's Rising,Album: ***THE INFAMOUS***      Utgiven:  1995,Kompositör: J Davis & Albert Johnson & Kejuan Muchita,,https://www.youtube.com/results?search_query=Mobb%20Deep%20%26%20Crystal%20Johnson%20Temperature's%20Rising,Mobb Deep & Crystal Johnson
Mirrors,Album: ***MIRRORS***      Utgiven:  2009,Kompositör: Damon Riddick,https://play.spotify.com/track/1Zvbo0v6pUHwwkEr0YsC3p,https://www.youtube.com/results?search_query=Dam%20Funk%20Mirrors,Dam Funk
Music Is God My Love,Album: ***MUSIC IS GOD MY LOVE***      Utgiven:  2013,Kompositör: Christophe Chassol,https://play.spotify.com/track/3AO4JN8iEAuxwclIh2qZdN,https://www.youtube.com/results?search_query=Chassol%20Music%20Is%20God%20My%20Love,Chassol
Bullets,,Kompositör: Louis Kevin Celetin,https://play.spotify.com/track/3Il1ess0dinvEagLM3dTzG,https://www.youtube.com/results?search_query=Kaytranada%20%26%20Little%20Dragon%20Bullets,Kaytranada & Little Dragon
Angels,Album: Coloring Book,Kompositör: -,https://play.spotify.com/track/0jx8zY5JQsS4YEQcfkoc5C,https://www.youtube.com/results?search_query=Chance%20The%20Rapper%20%26%20%20Saba%20Angels,Chance The Rapper &  Saba
Summer In The City,Album: ***SAMPLED (3)***      Utgiven:  2002,Kompositör: Steve Boone & John Sebastian & Mark Sebastian,https://play.spotify.com/track/157llmCqs15bAa3T4z3H1a,https://www.youtube.com/results?search_query=Quincy%20Jones%20Summer%20In%20The%20City,Quincy Jones
Passing Me By,Album: ***BIZARRE RIDE TO THE PHARCYDE***      Utgiven:  1993,Kompositör: T Hardson & J Martinez & R Robinson & D Stewart & E Wilcox,https://play.spotify.com/track/71vnTUFoXjqP9W8sCVcMQG,https://www.youtube.com/results?search_query=The%20Pharcyde%20Passing%20Me%20By,The Pharcyde
"93' Til Infinity, 93' Until Infinity",Album: ***93 'TIL INFINITY***      Utgiven:  1993,Kompositör: A Carter & O Lindsey & T Massey & D Thompson,,"https://www.youtube.com/results?search_query=Souls%20Of%20Mischief%2093'%20Til%20Infinity,%2093'%20Until%20Infinity",Souls Of Mischief
I Got To Have It,Album: ***LIFE OF A KID IN THE GHETTO***      Utgiven:  1991,Kompositör: Ed O.G,https://play.spotify.com/track/2JhERr2fItkUK4Ydu8olb5,https://www.youtube.com/results?search_query=Ed%20O.G%20%26%20Da%20Bulldogs%20I%20Got%20To%20Have%20It,Ed O.G & Da Bulldogs
I Ain't No Joke,Album: ***CLASSIC ERIC B & RAKIM***      Utgiven:  2001,Kompositör: Eric Barrier & William Griffin,,https://www.youtube.com/results?search_query=Eric%20B%20%26%20Rakim%20I%20Ain't%20No%20Joke,Eric B & Rakim
Pass The Peas,Album: ***JAMES BROWN'S FUNKY PEOPLE***      Utgiven:  1988,Kompositör: Charles Bobbit & James (1) Brown & John Starks,,https://www.youtube.com/results?search_query=James%20(1)%20Brown%20%26%20The%20Jb's%20Pass%20The%20Peas,James (1) Brown & The Jb's
