title,album,composer,spotify,youtube,artist
In A Sentimental Mood,Album: ******      Utgiven:  1988,Kompositör: Duke Ellington,,https://www.youtube.com/results?search_query=John%20Coltrane%20%26%20Duke%20Ellington%20%26%20Aaron%20Bell%20%26%20Elvin%20Jones%20In%20A%20Sentimental%20Mood,John Coltrane & Duke Ellington & Aaron Bell & Elvin Jones
I'M So Proud,,Kompositör: Curtis Mayfield,,https://www.youtube.com/results?search_query=The%20Impressions%20I'M%20So%20Proud,The Impressions
I'M So Proud,,Kompositör: Curtis Mayfield,https://play.spotify.com/track/3negV4EPUokkJj2RINOuge,https://www.youtube.com/results?search_query=Joe%20Smith%20I'M%20So%20Proud,Joe Smith
He Ain'T Heavy He's My Brother,Album: He Ain'T Heavy He's My Brother,"Kompositör: Bob Russell, Bobby Scott",,https://www.youtube.com/results?search_query=Pat%20Kelly%20He%20Ain'T%20Heavy%20He's%20My%20Brother,Pat Kelly
Perfidia,Album: Midnight Confession,Kompositör: Alberto Dominguez,https://play.spotify.com/track/3gtqPVJhYSCQVeJjRE13Fi,https://www.youtube.com/results?search_query=Phyllis%20Dillon%20Perfidia,Phyllis Dillon
A Thing Of The Past,Album: Midnight Confession,"Kompositör: Bob Brass, Irwin Levine",https://play.spotify.com/track/7bvv8GU102jpnmi4usB1dg,https://www.youtube.com/results?search_query=Phyllis%20Dillon%20A%20Thing%20Of%20The%20Past,Phyllis Dillon
Daddy's Home,Album: Daddy's Home,Kompositör: Okänd,https://play.spotify.com/track/53usO8x8pjpRqkL05Fhvbo,https://www.youtube.com/results?search_query=Pat%20Kelly%20Daddy's%20Home,Pat Kelly
Daddy's Home,Album: The Best Of The Heartbeats,"Kompositör: William H Miller, James Sheppard",,https://www.youtube.com/results?search_query=Shep%20%26%20The%20Limelites%20Daddy's%20Home,Shep & The Limelites
There Is Nothing I Can Do,Album: There Is Nothing I Can Do,Kompositör: Michael J Kirkland,,https://www.youtube.com/results?search_query=Mike%20%26%20The%20Censations%20There%20Is%20Nothing%20I%20Can%20Do,Mike & The Censations
Gimme Little Sign,Album: 25 Years Of Rock 'N' Roll (1968),"Kompositör: Joe Hooven, Alfred Smith, Jerry Win",https://play.spotify.com/track/5lrTeAanakNgmROuobSsqh,https://www.youtube.com/results?search_query=Brenton%20Wood%20Gimme%20Little%20Sign,Brenton Wood
Ain'T That Loving You (For More Reasons Than One),Album: The Complete Stax/Volt Singles 1959-1968 (7),"Kompositör: Banks, Jones",,https://www.youtube.com/results?search_query=Johnnie%20Taylor%20Ain'T%20That%20Loving%20You%20(For%20More%20Reasons%20Than%20One),Johnnie Taylor
Ain'T That Loving You,Album: Ain'T That Loving You,"Kompositör: Homer Banks, Allen Jones",https://play.spotify.com/track/2aINvgawOuIhJJZ81m6eBD,https://www.youtube.com/results?search_query=Alton%20Ellis%20Ain'T%20That%20Loving%20You,Alton Ellis
Mister Chatterbox,Album: In The Beginning,"Kompositör: Bunny Lee, Bob Marley",,"https://www.youtube.com/results?search_query=Bob%20Marley,%20The%20Wailers%20(Jamaica)%20Mister%20Chatterbox","Bob Marley, The Wailers (Jamaica)"
