title,album,composer,spotify,youtube,artist
Kaifa Part,Album: Unstraight Ahead,Kompositör: Jan Weissenfeldt,https://play.spotify.com/track/7ErGzwdIsKOdIWZ77VDGox,https://www.youtube.com/results?search_query=Karl%20Hector%20%26%20The%20Malcouns%20Kaifa%20Part,Karl Hector & The Malcouns
Yes God Is Real,"Album: Tapes, 2012",Kompositör: Major Haines,https://play.spotify.com/track/2jsEIWPxzLMvmHKZZivex8,https://www.youtube.com/watch?v=AN-0Q3B-qxE,Gospel Comforters
Ain't Nobody Gonna Treat Us (Like They Used To Do),"Album: The Zulu 45S Collection,2010",Kompositör: Spencer,https://play.spotify.com/track/5uWTbNK63i3fIaDNh7zRRu,https://www.youtube.com/results?search_query=Philip%20Cohran%20%26%20The%20Artistic%20Heritage%20Ensemble%20Ain't%20Nobody%20Gonna%20Treat%20Us%20(Like%20They%20Used%20To%20Do),Philip Cohran & The Artistic Heritage Ensemble
Cant Live Without You,Album: Can't Live Without You (Digital 45),Kompositör: Timothy Wright,https://play.spotify.com/track/6f2GneuFuWHGaP0BwUrwW2,https://www.youtube.com/watch?v=Da3R34KRFKE,Connie Laverne
If,Album: Sweet Charlie Babe,Kompositör: Walter Sigler & Phil Hurtt,https://play.spotify.com/track/0tJeElFFnWkCqG3bihF2Vz,https://www.youtube.com/watch?v=MVTtqnZROQs,Jackie Moore
The Come Up,Album: Megatron Bombs,,https://play.spotify.com/track/1uaIKixkxXj8Bmnp3VBpcH,https://www.youtube.com/results?search_query=Ben%20Famous%20The%20Come%20Up,Ben Famous
As Long As I Have You,Album: Talcum Soul      Utgiven:  1998,Kompositör: Bob Elgin & Jerry Ragovoy,https://play.spotify.com/track/4DRb1U1KCTCTKYdT557S2S,https://www.youtube.com/results?search_query=Garnet%20Mimms%20As%20Long%20As%20I%20Have%20You,Garnet Mimms
I Loved And I Lost,Album: The Anthology /1961-1977/      Utgiven:  1992,Kompositör: Curtis Mayfield,https://play.spotify.com/track/50L6sX4gJio7mcxs05k1eG,https://www.youtube.com/results?search_query=Impressions%20(Usa)%20I%20Loved%20And%20I%20Lost,Impressions (Usa)
Liquid Sunshine,Album: Kpm 1000 Series: Voices in Harmony,Kompositör: John Cameron,https://play.spotify.com/track/5rXMjn480P9q0aomXjmj0Q,https://www.youtube.com/results?search_query=John%20Cameron%20Liquid%20Sunshine,John Cameron
Up And Away,"Album: Sounds Of Crenshaw, Vol. 1",Kompositör: Terrace Martin & Wyann Vaughn,https://play.spotify.com/track/7IGixjRq5eAGPoufnCKFkp,https://www.youtube.com/results?search_query=The%20Pollyseeds%20Up%20And%20Away,The Pollyseeds
