title,album,composer,spotify,youtube,artist
Free,Album: FREE      Utgiven:  1977,Kompositör: Susaye Greene & Hank Redd & Nathan Watts & Deniece Williams,https://play.spotify.com/track/3Px3cj7fjSgwt63Fteqvbw,https://www.youtube.com/results?search_query=Deniece%20Williams%20Free,Deniece Williams
Saint Elmo's Fire,Album: THE ART OF TEA      Utgiven:  1987,Kompositör: Michael Franks,,https://www.youtube.com/results?search_query=Michael%20Franks%20%26%20Larry%20Carlton%20%26%20Joe%20Sample%20%26%20Wilton%20Felder%20%26%20John%20Guerin%20Saint%20Elmo's%20Fire,Michael Franks & Larry Carlton & Joe Sample & Wilton Felder & John Guerin
Morning Sunrise,Album: MORNING SUNRISE      Utgiven:  2006,Kompositör: Donald Blackman,https://play.spotify.com/track/5Fse8BFC410yZ4kpVqBCHt,https://www.youtube.com/results?search_query=Weldon%20Irvine%20Morning%20Sunrise,Weldon Irvine
Mongolia,Album: Spiritual Jazz 3 Europe,Kompositör: Palle Mikkelborg,https://play.spotify.com/track/1EbEM2kxwty3gZ8ztZ8Dcs,https://www.youtube.com/results?search_query=Palle%20Mikkelborg%20Mongolia,Palle Mikkelborg
Lalune Blanche,Album: RCA Studio B Sessions / 1971,Kompositör: Stephen Allen Davis,https://play.spotify.com/track/5o0A0XX2eT0Q4HOtdP7cwh,https://www.youtube.com/results?search_query=Steve%20Davis%20Lalune%20Blanche,Steve Davis
"Prowlin', Prowling",,Kompositör: The Whitefield Brothers,,"https://www.youtube.com/results?search_query=The%20Whitefield%20Brothers%20Prowlin',%20Prowling",The Whitefield Brothers
I Think I Am,Album: 6AM,Kompositör: Ophir Kutiel,https://play.spotify.com/track/5WDI5GvCdVeSCtPwqPQDyj,https://www.youtube.com/results?search_query=Kutiman%20I%20Think%20I%20Am,Kutiman
Life's Gone Down Low,Album: THE WORLD ENDS - AFRO ROCK & PSYCHEDELIA IN 1970S NIGERIA (1)      Utgiven:  20,Kompositör: Lijadu Sisters,https://play.spotify.com/track/3po73jdYTHwX5Z4xT27Kfz,https://www.youtube.com/results?search_query=Lijadu%20Sisters%20Life's%20Gone%20Down%20Low,Lijadu Sisters
Afro Beat Blues,"Album: THE CHISA YEARS 1965-1975      Utgiven:  2006, RARE AND UNRELEASED      Utgiven",Kompositör: Hugh Masekela,https://play.spotify.com/track/4Ua2SU25r2XCnT8CpmYAyM,https://www.youtube.com/results?search_query=Hugh%20Masekela%20%26%20Ojah%20Afro%20Beat%20Blues,Hugh Masekela & Ojah
Moment Of Truth,Album: Earth Wind & Fire,Kompositör: Maurice White & Don Whitehead & Wade Flemons,https://play.spotify.com/track/6awk6CZQT29sMARUrszTc7,https://www.youtube.com/results?search_query=Earth%20Wind%20%26%20Fire%20Moment%20Of%20Truth,Earth Wind & Fire
Latin Strut,"Album: THE ANTHOLOGY      Utgiven:  2005, SALSOUL      Utgiven:  , AFRO FILIPINO",Kompositör: Eumir Deodato,https://play.spotify.com/track/70JJCNqMklcoVxhIkH3I1T,https://www.youtube.com/results?search_query=Joe%20Bataan%20Latin%20Strut,Joe Bataan
Get Out Of My Way,Album: BROASTED OR FRIED      Utgiven:  2000,Kompositör: Ric Desilva,,https://www.youtube.com/results?search_query=Ric%20Desilva%20%26%20Joe%20Torres%20Get%20Out%20Of%20My%20Way,Ric Desilva & Joe Torres
Creation,Album: BROASTED OR FRIED      Utgiven:  2000,Kompositör: C Crossman & L Small,https://play.spotify.com/track/4JXovGBuhIi6P0stXPJQA6,https://www.youtube.com/results?search_query=The%20Latinaires%20Creation,The Latinaires
Right On,Album: QUE VIVA LA MUSICA      Utgiven:  2006,Kompositör: Ray Barretto & Luis Cruz,https://play.spotify.com/track/4rPgePQJVkgQJS5SE3O1cg,https://www.youtube.com/results?search_query=Ray%20Barretto%20Right%20On,Ray Barretto
Primitivo,Album: VIBRAFINGER      Utgiven:  1999,Kompositör: Sergio Mendes & Antonio Carlos Jobim,https://play.spotify.com/track/3FQQcU07HdqfoAVLAw35k9,https://www.youtube.com/results?search_query=Sergio%20Mendes%20Primitivo,Sergio Mendes
Heart Full Of Love,Album: THE BEST OF LOMA RECORDS      Utgiven:  1995,Kompositör: Lester Johnson & Clifton Knight & Dave Richardson,https://play.spotify.com/track/12Oh0VZv0kCtC9bk7jCRgU,https://www.youtube.com/results?search_query=The%20Invincibles%20Heart%20Full%20Of%20Love,The Invincibles
There Is Nothing I Can Do,Album: THERE IS NOTHING I CAN DO      Utgiven:  2005,Kompositör: Michael J Kirkland,,https://www.youtube.com/results?search_query=Mike%20%26%20The%20Censations%20There%20Is%20Nothing%20I%20Can%20Do,Mike & The Censations
"My Woman's Good To Me, My Woman Is Good To Me",Album: TELL IT LIKE IT IS      Utgiven:  1994,Kompositör: Billy Sherrill & Glenn Sutton,https://play.spotify.com/track/0DTqdBdmke6Kb2rcJEzEMT,"https://www.youtube.com/results?search_query=George%20Benson%20My%20Woman's%20Good%20To%20Me,%20My%20Woman%20Is%20Good%20To%20Me",George Benson
Love Gonna Pack Up (And Walk Out),,Kompositör: Ray Lewis & Robert Poindexter & Richard Poindexter,,https://www.youtube.com/results?search_query=The%20Persuaders%20(Usa)%20(1)%20Love%20Gonna%20Pack%20Up%20(And%20Walk%20Out),The Persuaders (Usa) (1)
Love Gonna Pack Up,Album: SUGAR MINOTT AT STUDIO ONE      Utgiven:  2005,Kompositör: Lincoln Minott,,https://www.youtube.com/results?search_query=Sugar%20Minott%20Love%20Gonna%20Pack%20Up,Sugar Minott
"No No No, You Don't Love Me (No No No)",Album: STUDIO ONE ROCKERS      Utgiven:  2001,Kompositör: Dawn Penn,https://play.spotify.com/track/0INtJm8gCJKtNaAYQNVlpZ,"https://www.youtube.com/results?search_query=Dawn%20Penn%20No%20No%20No,%20You%20Don't%20Love%20Me%20(No%20No%20No)",Dawn Penn
"Fool For Love, You Don't Love Me (No No No)",Album: STUDIO ONE SOUL (2)      Utgiven:  2006,Kompositör: Dawn Penn,,"https://www.youtube.com/results?search_query=Prince%20Jazzbo%20Fool%20For%20Love,%20You%20Don't%20Love%20Me%20(No%20No%20No)",Prince Jazzbo
You Don't Love Me,"Album: The Shangri Las & The 60s Girl Group Garage Sound, 2010",Kompositör: Robert Higginbotham,,https://www.youtube.com/results?search_query=The%20Starlets%20You%20Don't%20Love%20Me,The Starlets
All I Do Is Think About You,Album: SOULBOY - JOE MCCAIN'S MIX TAPE      Utgiven:  2010,Kompositör: Morris Broadnax & Clarence Paul & Stevie Wonder,https://play.spotify.com/track/4vXlI6K0OnZ5THU7Ftlvle,https://www.youtube.com/results?search_query=Brenda%20Holloway%20All%20I%20Do%20Is%20Think%20About%20You,Brenda Holloway
All I Do,Album: HOTTER THAN JULY      Utgiven:  2000,Kompositör: Stevie Wonder & Morris Broadnax & Clarence Paul,https://play.spotify.com/track/5Y4T4O5xy63BbgUfUkNPxA,https://www.youtube.com/results?search_query=Stevie%20Wonder%20All%20I%20Do,Stevie Wonder
Saturday,Album: NORMA JEAN      Utgiven:  2011,Kompositör: Bobby Cotter & Bernard Edwards & Nile Rodgers,https://play.spotify.com/track/4BkvWpbjarlOMSzaJHJsTY,https://www.youtube.com/results?search_query=Norma%20Jean%20Saturday,Norma Jean
Take Me I'm Yours,,Kompositör: Billy Nichols & Robert Whitehead,https://play.spotify.com/track/3rv2u0rfXCZrUoeposkCML,https://www.youtube.com/results?search_query=Mary%20Clark%20Take%20Me%20I'm%20Yours,Mary Clark
Thinking Of You,Album: THE VERY BEST OF SISTER SLEDGE 1973-93      Utgiven:  1993,Kompositör: Bernard Edwards & Nile Rodgers,https://play.spotify.com/track/1kjE7MK5gghRtzB9Z98UgS,https://www.youtube.com/watch?v=mAe54eFGp1o,Sister Sledge
Lost In Music,Album: WE ARE FAMILY      Utgiven:  2011,Kompositör: Bernard Edwards & Nile Rodgers,https://play.spotify.com/track/5elGdlLAIvV0W4VGXVZCTF,https://www.youtube.com/results?search_query=Sister%20Sledge%20%26%20Bernard%20Edwards%20%26%20Nile%20Rodgers%20Lost%20In%20Music,Sister Sledge & Bernard Edwards & Nile Rodgers
"Lost In Music (Dimitri From Paris Remix), Lost In Music",Album: THE CHIC ORGANIZATION 'SAVOIR FAIRE' (1)      Utgiven:  2010,Kompositör: Bernard Edwards & Nile Rodgers,https://play.spotify.com/track/1q7vowkcj5RM6U7cA0sZhF,"https://www.youtube.com/results?search_query=Sister%20Sledge%20Lost%20In%20Music%20(Dimitri%20From%20Paris%20Remix),%20Lost%20In%20Music",Sister Sledge
Reach Your Peak,Album: LOVE SOMEBODY TODAY      Utgiven:  2011,Kompositör: Bernard Edwards & Nile Rodgers,,https://www.youtube.com/results?search_query=Sister%20Sledge%20%26%20Bernard%20Edwards%20%26%20Nile%20Rodgers%20Reach%20Your%20Peak,Sister Sledge & Bernard Edwards & Nile Rodgers
Reach Your Peak,Album: Love Somebody Today,"Kompositör: Bernard Edwards, Nile Rodgers",,"https://www.youtube.com/results?search_query=Sister%20Sledge,%20Bernard%20Edwards,%20Nile%20Rodgers%20Reach%20Your%20Peak","Sister Sledge, Bernard Edwards, Nile Rodgers"
La murga de Panama,Album: Our Definition of Latin,Kompositör: Willie Colon,https://play.spotify.com/track/0XqRTKFHTgOhNZ8kuwXLPE,https://www.youtube.com/results?search_query=Willie%20Colon%20La%20murga%20de%20Panama,Willie Colon
Ramon's Desire,Album: RAMON'S DESIRE      Utgiven:  2010,Kompositör: Okänd,https://play.spotify.com/track/27mOWaXk9PGMzCTpGJ20FW,https://www.youtube.com/results?search_query=Francisco%20Aguabella%20Ramon's%20Desire,Francisco Aguabella
Holding You Loving You,Album: HOLDING YOU LOVING YOU      Utgiven:  1982,Kompositör: Don Blackman,https://play.spotify.com/track/5OsAYOStvtKMpFu2SMIFYV,https://www.youtube.com/results?search_query=Don%20Blackman%20Holding%20You%20Loving%20You,Don Blackman
What You Won't Do For Love,Album: DONNIE BRASCO      Utgiven:  1997,Kompositör: Bobby Caldwell & Alfons Kettner,https://play.spotify.com/track/0clxMioV4cIuKl6g7IZhP9,https://www.youtube.com/results?search_query=Bobby%20Caldwell%20What%20You%20Won't%20Do%20For%20Love,Bobby Caldwell
I Keep Forgettin' (Every Time You'Re Near),,Kompositör: Michael McDonald/Ed Sanford,https://play.spotify.com/track/5GvWrvLIqoHroq7YvO260M,https://www.youtube.com/results?search_query=Michael%20McDonald%20I%20Keep%20Forgettin'%20(Every%20Time%20You'Re%20Near),Michael McDonald
What A Fool Believes,Album: LISTEN TO THE MUSIC - THE VERY BEST OF THE DOOBIE BROTHERS      Utgiven:  1993,Kompositör: Kenny Loggins & Michael Mcdonald,https://play.spotify.com/track/2yBVeksU2EtrPJbTu4ZslK,https://www.youtube.com/results?search_query=The%20Doobie%20Brothers%20What%20A%20Fool%20Believes,The Doobie Brothers
I Can't Go For That,Album: Rock 'N' Roll Soul (1),Kompositör: Daryl Hall,https://play.spotify.com/track/41dDygR3r7e926oGUXfrLt,https://www.youtube.com/results?search_query=Daryl%20Hall%20%26%20John%20Oates%20I%20Can't%20Go%20For%20That,Daryl Hall & John Oates
Say No Go,Album: 3 Feet High And Rising,Kompositör: De La Soul,https://play.spotify.com/track/7eNAowKTrbxWPgatkRgsTc,https://www.youtube.com/results?search_query=De%20La%20Soul%20Say%20No%20Go,De La Soul
Peg,Album: Aja,Kompositör: Donald Fagen/Walter Becker,https://play.spotify.com/track/2MaLglXXcouyoh03rUROQ2,https://www.youtube.com/results?search_query=Steely%20Dan%20Peg,Steely Dan
Love You Inside Out,Album: ***TALES FROM THE BROTHERS GIBB (3)***      Utgiven:  1999,Kompositör: Barry Gibb & Maurice Gibb & Robin Gibb,https://play.spotify.com/track/1DMd9492Lqod3CqYaw6T5q,https://www.youtube.com/results?search_query=Bee%20Gees%20Love%20You%20Inside%20Out,Bee Gees
Open Your Eyes,Album: CELESTE & JESSE FOREVER      Utgiven:  2012,Kompositör: Bobby Caldwell & Bruce Malament,https://play.spotify.com/track/1JOuoTcVh484lkHm6j5cbw,https://www.youtube.com/results?search_query=Bobby%20Caldwell%20Open%20Your%20Eyes,Bobby Caldwell
